input,output,instruction
Be Maestro of Scientific discipline (Software program Project Management) offered in Karachi?,Yes,
Can I pursue a PhD in Electrical Engineering in Islamabad?,"Yes, the Doctor of Philosophy in Electrical Engineering program is offered in Islamabad.",
Make up Bachelor of Business sector Administration offered in Peshawar?,No,
Can I study MBA in Chiniot - Lyallpur?,"Yes, the Master of Business Administration program is offered in Chiniot-Faisalabad.",
Which financial institutions provide loans for students?,"Students can get loans from PICIC Commercial Bank, NIB Bank, Bank Alfalah, Bank Islami, and MCB.",
What is the extension for Accounts in Lahore?,ext: 209,
Is Master of Business Administration offered in Chiniot-Faisalabad?,Yes,
What is the email for admissions for the Islamabad campus?,admissions.isb@nu.edu.pk,
HEC Scholarships for MS and PhD scholarly person,"The Higher Education Commission (HEC) provides liberal scholarships to students desirous of studying for the MS and PhD degrees at this university. The scholarship covers tuition fee, monthly stipend and book allowance.",
Is Master of Science (Mathematics) offered in Chiniot-Faisalabad?,No,
What are the PEEF Scholarships?,"The Government of Punjab gives 42 scholarships to indigent students with Punjab domicile. Newly admitted students in any campus of the university can apply. The scholarship covers some portion of the tuition fee, with the remaining fee potentially covered by the University as Qarz-e-Hasna.",
Is Bachelor of Scientific discipline (Accounting and Finance) offered in Peshawar?,No,
Is Bachelor of Science (Reckoner Technology) offer in Capital of pakistan?,Yes,
What be the procedure to put on for a cogitation loan?,"Applicants need to fill out the prescribed form, available at all campuses or downloadable from the University website.",
"What aspects of ""Management & Organizational Behavior (MG 4006)"" are covered in the program at FAST NU?
","This course focuses on the behavioral aspects of managing teams and organizations. It explores theories of management, leadership styles, motivation, team dynamics, and organizational culture. Students gain insights into managing people and processes in a software development environment.",
When be the Interviews scheduled for MBA ms. PhD?,Jul 26 (Fri),
Be Bachelor of Scientific discipline (Computer Science) offered in Chiniot - Lyallpur?,Yes,
What bank pop the question loanword to students?,"PICIC Commercial Bank, NIB Bank, Bank Alfalah, Bank Islami, and MCB offer loans to students.",
What be the facsimile number for the Lahore campus?,Fax: (042) 516 5232,
GRE and SAT Examinations,"Those who have taken SAT examination can apply for admission to the undergraduate programs, i.e. BBA or BS. Those who have taken the GRE (subject test) can apply for admission to graduate programs, i.e. MS, MBA or PhD. Click here to Apply Online The Institution code for receiving SAT scores is 4575 The Institution code for receiving GRE scores is 7386",
Assistantships,The University may utilize the services of its students in its different activities. These students are compensated for rendering their services.,
Make up Medico of Philosophy (Electrical Engineering) offered in Political platform Type?,No,
Is Master of Science (Civil Engineering) offered in Program Type?,No,
"How does semester registration work at FAST NU?
"," Students are required to register in Fall and Spring semesters and to pay the current semester fees. All students are required to register for normal course load, except those on academic warning. The recommended registration procedure is as follows a) Clear all previous fees and dues before registration. b) First semester students should register through the Academic Office. All other students should register online. c) Pay current dues in full immediately after registration is complete. Registration of Students under Warning Must register for all such courses in which the grade was F or U. Should register for all such courses in which the grade was D, D+, or C-. Should not register for more than five courses. Students with warning count = 2 MUST not register for a new course. Parents/guardians are called to the campus for a consultative meeting with the HoD. Must obtain written approval from their Head of Department for each course that they register, add, drop, or withdraw. Students studying under scholarships (OSP, HEC, FAST or others) must take full load.",
Does Lahore offering BBA programs?,"Yes, the Bachelor of Business Administration program is offered in Lahore.",
Can I do BBA in Peshawar?,"No, the Bachelor of Business Administration program is not offered in Peshawar.",
What is the fax number for the Lahore campus?,Fax: (042) 516 5232,
What are the prerequisite for hit the Rector ' s List of Honours at fasting NU?, The name of an undergraduate student is placed on the Rector's List if his/her SGPA is 4.00 in a semester. The student receives a Certificate and his/her name is also placed on the University's website. Only those students are included in this list who have completed the semester with regular course load prescribed in the study plan.,
"What support services are offered to students at FAST NU?
","The program offers a range of support services to help students succeed. These include academic advising, career counseling, tutoring, and access to research resources. The support services are designed to help students navigate their studies and achieve their academic and professional goals.",
When is the Kickoff of class for MBA MS PhD?,Aug 19 (Mon),
What is the admissions procedure same at FAST NU?,"Prospective students must submit an application form, along with required documents such as academic transcripts, letters of recommendation, and a statement of purpose. Applications are reviewed by the admissions committee, which evaluates candidates based on their academic performance, test scores, and relevant experience.",
Other Scholarship,"In addition to the above scholarships there are various community based scholarships offered by various committees and foundations such as, Memon Community Scholarships, Bohra Community Scholarships, INFAQ Foundation scholarships, Agha Khan Foundation Scholarships, etc. For Karachi campus, Alumni Association, Hindu Community, and Agha Khan Foundation also provides scholarships in limited numbers.",
What should I know about the NU Online Admission Test for Graduate programs?,"Admission Tests details are available on the University's admission website. The online admission test is conducted on a computer. Candidates should be proficient with using a mouse and keyboard. Each candidate's test is unique, with sections like English, Analytical skills, and Math appearing randomly. Candidates can navigate within each section to review and modify their answers. Each section is timed independently. The test summary is displayed at the end, and it lasts two to three hours. Applicants must arrive on time as indicated on their admit cards; latecomers are not permitted. Only Admit Cards are allowed in the test center. The test is administered at all University campuses.",
What aspects of educatee life be emphasize at FAST NU?,"Students have access to a range of extracurricular activities, including clubs, professional organizations, and social events. These activities provide opportunities for networking, professional development, and personal growth. The program encourages students to participate in student life to enhance their overall educational experience.",
Can students get compensated for working at the University?,"Yes, the University may utilize the services of its students in different activities, and these students are compensated.",
"How does semester registration work at FAST NU?
"," Students are required to register in Fall and Spring semesters and to pay the current semester fees. All students are required to register for normal course load, except those on academic warning. The recommended registration procedure is as follows a) Clear all previous fees and dues before registration. b) First semester students should register through the Academic Office. All other students should register online. c) Pay current dues in full immediately after registration is complete. Registration of Students under Warning Must register for all such courses in which the grade was F or U. Should register for all such courses in which the grade was D, D+, or C-. Should not register for more than five courses. Students with warning count = 2 MUST not register for a new course. Parents/guardians are called to the campus for a consultative meeting with the HoD. Must obtain written approval from their Head of Department for each course that they register, add, drop, or withdraw. Students studying under scholarships (OSP, HEC, FAST or others) must take full load.",
What is the tuition fee per credit hour for MBA / MS?,"Rs. 10,000",
Other Scholarships,"In addition to the above scholarships there are various community based scholarships offered by various committees and foundations such as, Memon Community Scholarships, Bohra Community Scholarships, INFAQ Foundation scholarships, Agha Khan Foundation Scholarships, etc. For Karachi campus, Alumni Association, Hindu Community, and Agha Khan Foundation also provides scholarships in limited numbers.",
What be the extension for the Library in Karachi?,ext: 223,
Is Bachelor of Scientific discipline (Civil Engine room) offered in Islamabad?,No,
What is the address for the Lahore campus?,"Block-B, Faisal Town",
What is the phone number for the Karachi City campus?,Tel: (021) 343 90941-5,
Is Doc of Ism (Direction Sciences) offered in Islamabad?,Yes,
"What are the eligibility and selection criteria for the Bachelor of Science program in Artificial Intelligence at FAST NU?
"," Applicants must have at least 60% marks in SSC (Matric) or an equivalent examination, and at least 50% marks in HSSC or an equivalent examination, with Mathematics passed at the HSSC level. Students awaiting HSSC results can also apply. Pre-medical students who have passed additional math or are awaiting results are eligible for all computing programs.",
What other scholarships are available?,"Various community-based scholarships are available, such as Memon Community Scholarships, Bohra Community Scholarships, INFAQ Foundation Scholarships, and Agha Khan Foundation Scholarships. Karachi campus also offers scholarships from the Alumni Association, Hindu Community, and Agha Khan Foundation.",
When is the Commencement of classes for MBA MS PhD?,Aug 19 (Mon),
Selected Candidate Announcement,The selected candidates are informed through SMS on their cell phones and also via email. The candidates should check the status of their admission from the University web siteadmissions.nu.edu.pkorwww.nu.edu.pk.,
"What aspects of ""Management & Organizational Behavior (MG 4006)"" are covered in the program at FAST NU?
","This course focuses on the behavioral aspects of managing teams and organizations. It explores theories of management, leadership styles, motivation, team dynamics, and organizational culture. Students gain insights into managing people and processes in a software development environment.",
Is Headmaster of Science (Math) offered in Program Eccentric?,No,
Is Bachelor of Business Administration offered in Program Type?,No,
What is the extension for Accounts in Karachi?,ext: 216,
Be Doctor of Doctrine (Civil Engineering) offered in Program Type?,No,
"What are the objectives of the program at FAST NU?
", 1. Fulfill industry software needs with competent computer scientists. 2. Introduce innovative concepts and techniques in computer sciences. 3. Develop researchers and scholars capable of pursuing further studies. 4. Enhance communication and organizational skills for comprehensive reports. 5. Provide formal foundations for continued education.,
What is the tuition fee per credit hour for BBA / BS?,"Rs. 10,000",
"What is the mission of the program at FAST NU?
", To produce competent and well-rounded professionals capable of applying Artificial Intelligence & Data Science to solve real-life problems.,
Accession Procedure,"Admission Application Form must be filled online by following the instructions. Click Here for Online Admission Application Applications received through post or by hand will not be accepted/entertained. The online system assigns a unique Application Reference Number (ARN) to each applicant, which must be noted for later use. Applicant will confirm that information entered in the Admission Application Form is correct. In case of incorrect information, the University has all the rights to cancel the application/admission without any fee refund. Applicant will deposit the Application Fee in the designated Bank. Fee is non-refundable/adjustable. Upon payment of the Application Processing Fee (and additional Admission Test Fee), the applicant will print his/her ADMIT CARD bearing the applicant’s TEST ROLL NUMBER. The applicant should then visit the test campus on the specified date and time as mentioned on the Admit card. Admission of a student automatically stands cancelled if he or she fails in the required exam whose result was not available at the time of admission. Admission Application Form must be filled online by following the instructions. Click Here for Online Admission Application Applications received through post or by hand will not be accepted/entertained. The online system assigns a unique Application Reference Number (ARN) to each applicant, which must be noted for later use. Applicant will confirm that information entered in the Admission Application Form is correct. In case of incorrect information, the University has all the rights to cancel the application/admission without any fee refund. Admission of a student automatically stands cancelled if he or she fails in the required exam whose result was not available at the time of admission.",
What is the extension for Accounts in Karachi?,ext: 216,
What be involve in the Final Year Project at FAST NU?,The program includes a mandatory final year project where students apply their skills in data science and computing to real-world problems.,
"What are the degree requirements for students at FAST NU?
","To obtain a BS (Software Engineering) degree, students must complete a minimum of 130 credit hours, including core courses, and maintain a CGPA of at least 2.00.",
Is Bachelor of Science (Electrical Engineering) offered in Karachi?,Yes,
Is Master of Science (Mathematics) offered in Islamabad?,No,
Is Bachelor of Skill (Computer Engineering) offer in Karachi?,No,
Is Doctor of Philosophy (Computer Science) offered in Islamabad?,Yes,
Is Bachelor of Science (Figurer Engineering) offer in Lahore?,No,
Can students get compensated for working at the University?,"Yes, the University may utilize the services of its students in different activities, and these students are compensated.",
What are the requirements for making the Doyen ' s Tilt of Honours at fasting NU?," If the SGPA of an undergraduate student is between 3.50 and 3.99, his/her name is included in the Dean's List. The student receives a Certificate and his/her name is also placed on the University's website. Only those students are included in this list who have completed the semester with regular course load prescribed in the study plan.",
What is the address for the Peshawar campus?,"160, Industrial Estate, Jamrud Road",
Be Master of Scientific discipline (Data Science) offered in Program Type?,No,
What is the extension for the Director in Lahore?,ext: 227,
Is Medico of Philosophy (Computer Scientific discipline) extend in Chiniot - Faisalabad?,Yes,
Is Bachelor of Science (Computer Science) offered in Karachi?,Yes,
Be Bachelor of Science (Civil Engineering science) offered in Peshawar?,No,
What embody the doubtful study programme?,CS 5001 Research Methodology 3+0. CS 5015 Software Project Management 3+0. MG 4006 Management & Org. Behaviour 3+0. Total 9+0. CS 5002 Software Quality Assurance 3+0. CS 5003 Software Process Menage. & Metrics 3+0. CS 5004 Requirements Engineering 3+0. Total 9+0. Computing Elective 3+0. MS Thesis-I/MS Project-I/Practicum-1 0+3. Total 3+3. General Elective-I(Computing/ MG) 3+0. MS Thesis-lI/MS Project-II/Practicum-I| 0+3. Total 3+3.,
"What are the designated holidays observed at FAST NU?
","Kashmir Day falls on February 5th, which is observed on a Monday. Pakistan Day is celebrated on March 23rd, which typically falls on a Saturday. Labour Day, observed on May 1st, usually falls on a Wednesday. Eid-ul-Fitr, subject to the Lunar Calendar, spans from April 10th to April 12th, and typically falls on Wednesday to Friday. Eid-ul-Adha, also subject to the Lunar Calendar, spans from June 17th to June 19th, falling on Monday to Wednesday. Independence Day is celebrated on August 14th, which is a Monday. Ashura, subject to the Lunar Calendar, spans from July 27th to July 28th, falling on Thursday to Friday. Eid Melad-un-Nabi is observed on September 27th, which is a Wednesday. Quaid’s Birthday is celebrated on December 25th, which typically falls on a Monday. December 25th is also observed on Wednesday, subject to the Lunar Calendar.",
What are the target of the program at fasting NU?, 1. Fulfill industry software needs with competent computer scientists. 2. Introduce innovative concepts and techniques in computer sciences. 3. Develop researchers and scholars capable of pursuing further studies. 4. Enhance communication and organizational skills for comprehensive reports. 5. Provide formal foundations for continued education.,
"What are the requirements for completing the degree at FAST NU?
","To earn an MS degree, students must complete at least 30 credit hours, including core courses. They must also achieve a CGPA of 2.50 or higher. Additionally, students must complete their capstone project with satisfactory performance.",
Is Bachelor of Science (Software Engineering) offered in Karachi?,Yes,
What courses equal typically offered in Semester 3 at FAST NU?," Computing Elective-Il 3+0, AI MS Thesis-1/MS Project-1 0+3. Total 3+3",
"How does one formally withdraw from a course at FAST NU?
"," Students are not allowed to withdraw from any course in the first semester. Withdrawal is not allowed due to shortage of attendance unless it is due to reasons beyond one's control, e.g. hospitalization. Application for withdrawal from course(s) must be countersigned by the parent or the guardian of the student. Request for withdrawal must be submitted to the Head of Department (HoD) before the last day of classes. Request to withdraw from a course requires approval of the HoD. For courses having an associated lab, withdrawal is always from both theory and lab portions of the course. Fee is not refunded for a withdrawn course. Students under warning should also repeat such passed courses in which their GPA was less than the minimum CGPA required for their degree. A student can also repeat a course if he/she desires to improve his/her grade. Only the most recent grade is used in calculating the CGPA. A repeat count appears on the transcript for all repeated courses.",
Is Bachelor of Science (Computer Engineering) offered in Lahore?,No,
Is Doctor of Philosophy (Software Engineering) offered in Karachi?,Yes,
Cost Bachelor of Skill (Financial Applied science) offer up in Karachi?,Yes,
Cost Knight bachelor of Science (Account statement and Finance) offer in Chiniot - Faisalabad?,No,
Is Bachelor of Science (Business Analytics) offered in Lahore?,Yes,
"How is the degree awarded upon completion of the program at FAST NU?
","For the award of MS degree, a student must have passed courses totalling at least 30 credit hours, including core courses. Earned CGPA of 2.50 or more.",
Does the University offer study loans?,"Yes, FAST arranges interest-free study loans for bright indigent students. This assistance is renewed each semester based on academic performance. It covers tuition fees only and is discontinued if the students CGPA falls below the minimum specified to avoid warning. Loan recipients must take a full load of courses.",
Is Bachelor of Science (Business Analytics) offered in Chiniot-Faisalabad?,Yes,
When is the Merit List announcement of selected/test qualified candidates for MBA MS PhD?,Jul 23 (Tue),
Can GRE scores be used for admission to graduate programs?,"Those who have taken the GRE (subject test) can apply for admission to graduate programs, i.e., MS, MBA, or PhD.",
"Under what conditions can students register for ""Thesis/Project/Practicum"" at FAST NU?
",,
Can GRE scores be used for admission to graduate programs?,"Those who have taken the GRE (subject test) can apply for admission to graduate programs, i.e., MS, MBA, or PhD.",
Is Master of Science (Software Engineering) offered in Karachi?,Yes,
Is Master of Science (Electrical Engineering) offered in Lahore?,Yes,
"What does CYS stand for at FAST NU?
","The Bachelor of Science in Cyber Security program covers foundational courses such as Introduction to Information and Communication Technology, Programming Fundamentals, Applied Physics, Calculus and Analytical Geometry, Functional English, and Ideology and Constitution of Pakistan. Advanced courses include Object Oriented Programming, Digital Logic Design, Multivariable Calculus, Expository Writing, Data Structures, Computer Organization and Assembly Language, Discrete Structures, and Linear Algebra.",
"What message does the Dean convey regarding programs in Computing at FAST NU?
"," Welcome to the FAST School of Computing, a pioneer in computing education since 1985. We offer five bachelor's, six master's, and two PhD degree programs across five cities in Pakistan. Our programs focus on cutting-edge technologies like Generative AI, Deep Learning, Data Science, Blockchain, Cyber Security, Gaming, and Robotics, aimed at driving socio-economic development. Recognized by P@SHA as Pakistan's top-ranked university in computing education, our graduates play active roles nationally and internationally.",
Is Master of Science (Business Analytics) offered in Chiniot-Faisalabad?,No,
"How is accreditation and quality assurance ensured for the program at FAST NU?
","The program is accredited by relevant educational bodies, ensuring that the curriculum meets high standards of quality and relevance to the industry. Continuous assessment and feedback mechanisms are in place to maintain and improve the program's quality.",
Is Bachelor of Science (Artificial Intelligence) offered in Lahore?,No,
OSAF Financial Assistance (Study Loan),OSAF (Old Students Association of FAST) arranges financial assistance for those students who cannot afford to pay their full fee.,
Is Master of Science (Mathematics) offered in Karachi?,No,
"What are the criteria for letter grades and their corresponding grade points at FAST NU?
"," A+ 4.00, A 4.00, A- 3.67, B+ 3.33, B 3.00, B- 2.67, C+ 2.33, C 2.00, C- 1.67, D+ 1.33, D 1.00, F 0.00",
What other scholarships are available?,"Various community-based scholarships are available, such as Memon Community Scholarships, Bohra Community Scholarships, INFAQ Foundation Scholarships, and Agha Khan Foundation Scholarships. Karachi campus also offers scholarships from the Alumni Association, Hindu Community, and Agha Khan Foundation.",
Be Master of Science (Civil Applied science) offer up in Chiniot - Faisalabad?,No,
When be selected applicants typically herald for admissions at FAST NU?, Selected candidates receive notifications via SMS and email. They can also verify their admission status using their ARN on the University websites admissions.nu.edu.pk or www.nu.edu.pk.,
What personify the extension for the Director in Islamabad?,ext: 101,
Is Master of Science (Software Engineering) offered in Chiniot-Faisalabad?,No,
Can I study MBA in Chiniot-Faisalabad?,"Yes, the Master of Business Administration program is offered in Chiniot-Faisalabad.",
Other Scholarships,"In addition to the above scholarships there are various community based scholarships offered by various committees and foundations such as, Memon Community Scholarships, Bohra Community Scholarships, INFAQ Foundation scholarships, Agha Khan Foundation Scholarships, etc. For Karachi campus, Alumni Association, Hindu Community, and Agha Khan Foundation also provides scholarships in limited numbers.",
What is the mission of the course of study at fasting NU?,"To develop student's skills necessary to manage software projects, coupling both with its theoretical and practical aspects that, strengthens them to acquire leadership positions in the software industry whereby they can become agents of change and improvement.",
How is evaluation and assessment conducted within the programme at fasting NU?,"Student performance is assessed through a combination of coursework, exams, and project evaluations. Continuous assessment methods are used to provide feedback and ensure that students meet the program’s learning outcomes.",
Is Bachelor of Skill (Financial Technology) offer in Program Type?,No,
Who is eligible for the Sindh Government Endowment Board Scholarships?,"Students from Karachi campus on need-cum-merit for both undergraduate and graduate studies are eligible. The scholarship covers full tuition fee, renewable yearly. The quota is 60% for rural students and 40% for urban students, with about 25 new scholarships offered yearly.",
"What topics are covered in ""Software Quality Assurance (CS 5002)"" at FAST NU?
","This course addresses the methods and techniques used to ensure software quality. It covers quality models, testing strategies, defect management, and process improvement. Students learn how to implement quality assurance practices to deliver high-quality software products.",
Is Bachelor of Science (Civil Engineering) offered in Peshawar?,No,
What specialty be volunteer at FAST NU?,"Students have the opportunity to specialize in areas like data mining, data warehousing, business intelligence, and artificial intelligence. These specializations prepare them for careers as data scientists, business analysts, and machine learning engineers.",
Be Bachelor of Science (Business Analytics) offer in Broadcast Type?,No,
Be Knight bachelor of Skill (Civil Engineering) offered in Chiniot - Faisalabad?,No,
"What are the expected learning outcomes of the program at FAST NU?
",Students will be able to exhibit expertise in managing large-scale projects as their final year project or conduct research related to Software Project management. Students will demonstrate analytical and communication skills while exhibiting project resource forecasting abilities and quality implementation for successful completion of the project. Students will develop skills to understand and implement industry adopted standards and calculate and examine project and process metrics. Demonstrate effective organizational leadership skills concerning project teams and stakeholders.,
"What are the objectives of the program at FAST NU?
","To prepare the students to assess and manage risks by developing strategies to handle them. To enable students to gather and manage requirements, and provide effective coordination between relevant stakeholders. To help students in identifying, documenting and analyzing change management to agreeing on changes to scope. To prepare students for configuration management of large scale software. To enable students in identifying, prioritizing and agreeing on software releases by preparing release schedules by estimating software costs and resource requirements. To acquire students with the ability to identify and resolve conflicts that may arise during the management of software projects. Inculcate a sense of ethics, responsibilities and leadership.",
How do students transpose between dissimilar campuses of fasting NU?, Request of a student for transfer from one campus of the University to another will be considered only on the following grounds a) Death of a parent. b) Posting of a parent to the city where the transfer is desired. c) Marriage of a female student. Transfer shall not be considered in the following cases Academic Rules & Regulations a) The student is under disciplinary punishment. b) Disciplinary action is pending against the student. c) Dues are outstanding against the student. d) During the course of a semester.,
Follow Master of Science (Electrical Engineering) extend in Chiniot - Lyallpur?,Yes,
What be the mission of the Knight bachelor of Science program in Artificial Intelligence at fasting NU?,The mission of the Bachelor of Science (Artificial Intelligence) program is to provide theoretical knowledge and practical skills necessary for a professional career in artificial intelligence. The curriculum covers core computing concepts with a specialization in artificial intelligence and its ethical applications.,
Is Doctor of Philosophy (Management Sciences) offered in Peshawar?,No,
"What constitutes an academic warning or probation at FAST NU?
"," At the end of every semester (including summer semester), warning is issued if the CGPA of a student is less than the minimum required for graduation. Minimum CGPA required to avoid academic warning, BS/BBA programs 2.00, MS/MBA programs 2.50, PhD programs 3.00. a) A student on academic warning needs the approval of the Head of Department to register in desired courses. If, after a semester, the CGPA of a student is less than the required minimum, the Warning Count increases by one. c) If the Warning Count becomes three, admission of the student in the University is closed. d) If after receiving warning, CGPA improves and equals or exceeds the required minimum, the Warning Count is reset to zero.",
Be Bachelor at arms of Skill (Artificial Intelligence) offered in Program Type?,No,
Is Master of Science (Cyber Security) offered in Program Type?,No,
What be the degree essential for educatee at FAST NU?,"To earn a BS (Data Science) degree, students must complete a minimum of 130 credit hours, including all core courses, and achieve a CGPA of at least 2.00.",
"What are the eligibility and selection criteria for the Bachelor of Science program in Artificial Intelligence at FAST NU?
"," Applicants must have at least 60% marks in SSC (Matric) or an equivalent examination, and at least 50% marks in HSSC or an equivalent examination, with Mathematics passed at the HSSC level. Students awaiting HSSC results can also apply. Pre-medical students who have passed additional math or are awaiting results are eligible for all computing programs.",
Be Bachelor of Science (Cyber Security) offered in Islamabad?,Yes,
Make up Bachelor of Business sector Administration offered in Peshawar?,No,
Is Master of Science (Applied Linguistics) offered in Peshawar?,No,
Is Master of Business Administration offered in Peshawar?,No,
What is the Security Deposit?,"A refundable security deposit of Rs 20,000 is also payable at the time of admission.",
Is Knight bachelor of Scientific discipline (Data Skill) declare oneself in Lahore?,Yes,
What is the extension for Accounts in Peshawar?,ext: 117,
What benefits exercise the alum network supply to graduates of fasting NU?,"Graduates of the program become part of an active alumni network that offers support, networking opportunities, and career guidance. Alumni often return to the program as guest speakers or mentors, contributing to the ongoing success of the program.",
Who is eligible for the Sindh Government Endowment Board Scholarships?,"Students from Karachi campus on need-cum-merit for both undergraduate and graduate studies are eligible. The scholarship covers full tuition fee, renewable yearly. The quota is 60% for rural students and 40% for urban students, with about 25 new scholarships offered yearly.",
What is the extension for Accounts in Peshawar?,ext: 117,
What electives and specializations are available at FAST NU?,Students can choose from a range of electives to tailor their education to their career goals. Computing Elective 3+0. General Elective-I (Computing/Management) 3+0.,
Is Master of Science (Software Project Management) offered in Karachi?,Yes,
Is Bachelor of Science (Reckoner Technology) offer in Capital of pakistan?,Yes,
Ar there BBA programs in Karachi?,"No, the Bachelor of Business Administration program is not offered in Karachi.",
"What support services are offered to students at FAST NU?
","The program offers a range of support services to help students succeed. These include academic advising, career counseling, tutoring, and access to research resources. The support services are designed to help students navigate their studies and achieve their academic and professional goals.",
Punjab Educational Endowment Fund (PEEF) Scholarships,The Government of Punjab gives 42 scholarships to indigent students having domicile of Punjab. Newly admitted students in any campus of the university can apply for this scholarship.The scholarship is for 4-year undergraduate studies and covers some portion of the tuition fee. The remaining tuition fee can be given by the University as Qarz-e-Hasna.,
Comprise Doctor of Ism (Civil Applied science) offered in Karachi?,No,
"What are the requirements for making the Rector's List of Honours at FAST NU?
", The name of an undergraduate student is placed on the Rector's List if his/her SGPA is 4.00 in a semester. The student receives a Certificate and his/her name is also placed on the University's website. Only those students are included in this list who have completed the semester with regular course load prescribed in the study plan.,
Is Bachelor of Science (Computer Science) offered in Chiniot-Faisalabad?,Yes,
What are the details of the NU Online Admission Test for Graduate programs?,"Information on various Admission Tests is available on the University's admission website. The online admission test is taken on a computer. Candidates should be familiar with the use of mouse and keyboard. Each candidate gets a different examination, with sections (English, Analytical skills, Math, etc.) appearing in a random sequence. Candidates can review and change their responses within each section. Each section has a fixed duration, and time saved in one section is not carried forward. A summary of results is displayed at the end of the test. The duration is between two and three hours. Applicants should reach the test center on the date and time specified on the admit card. Latecomers will not be allowed to take the test. Only the Admit Card is allowed in the test center. The test is held at all campuses of the University (Karachi, Lahore, Islamabad, and Peshawar).",
Is Doctor of Philosophy (Civil Engineering) offered in Program Type?,No,
Is Bachelor of Science (Reckoner Technology) offer in Capital of pakistan?,Yes,
What is the Price of admission Fee?,"Admission Fee of Rs 30,000 is payable once at the time of admission. If a graduate of this University is admitted to a higher degree program, then the admission fee is not payable again.",
What equal the Bookman Activities Fund?,"Students contribute Rs 2,000 towards the Student Activities Fund per semester to support co-curricular and extra-curricular activities.",
"What are the steps involved in registering for the Final Year Project (FYP) at FAST NU?
"," The Final Year Project, which is completed in two regular semesters, is divided into FYP-I and FYP-II. To register for FYP-I, a student must have passed all courses shown for the first six semesters in the study plan of his/her degree program. The Head of Department can allow registration in cases where there is a deficiency of one course. The Director of the campus can allow registration in cases where there is a deficiency of two courses. Students having a deficiency of more than two courses are not allowed registration in FYP-I. Students on academic warning cannot register for FYP-I. Registration in FYP-II is allowed only after successful completion of FYP-I.",
"What are the criteria for letter grades and their corresponding grade points at FAST NU?
"," A+ 4.00, A 4.00, A- 3.67, B+ 3.33, B 3.00, B- 2.67, C+ 2.33, C 2.00, C- 1.67, D+ 1.33, D 1.00, F 0.00",
What scholarships arrange the Sindh Government whirl?,"The Sindh Government offers scholarships to Karachi campus students on need-cum-merit for undergraduate and graduate studies. The scholarship covers full tuition fee for the entire program duration and is renewable yearly. The quota for rural students is 60%, and 40% for urban students. About 25 new scholarships are offered yearly under this scheme.",
Is Master of Science (Software Project Management) offered in Program Type?,No,
Is Doctor of Philosophy (Civil Engineering) offered in Karachi?,No,
Is Maestro of Skill (Civil Engineering science) offered in Program Type?,No,
What is the Additional Transcript Fee?,Rs. 200,
When be selected applicants typically herald for admissions at FAST NU?, Selected candidates receive notifications via SMS and email. They can also verify their admission status using their ARN on the University websites admissions.nu.edu.pk or www.nu.edu.pk.,
How will I fuck if I am select?,Selected candidates are notified via SMS and email. Candidates can also check their admission status on the University website.,
Are there BBA programs in Karachi?,"No, the Bachelor of Business Administration program is not offered in Karachi.",
What constitute the extension phone for the Library in Peshawar?,ext: 119,
What documents do foreign nationals need to provide for admission?,"Foreign nationals must submit a No Objection Certificate (NOC) from the Ministry of Education, Government of Pakistan at the time of admission.",
What are the natural selection standard for accession at FAST NU?," Academic Record (Bachelor) 50%, Admission Test/NTS-GAT (General) 50%. Applicants may need to take up to four deficiency courses, determined by the Graduate Studies Committee before admission, at no cost. Mathematical Foundations of Al may be taken concurrently with deficiency courses.",
Is Bachelor of Skill (Computer Engineering) offer in Karachi?,No,
"What procedures should be followed for adding or dropping a course at FAST NU?
", The request should be made within the first two weeks of a semester. Students are not allowed to drop any course after the first two weeks.,
Is Maestro of Skill (Civil Engineering) proffer in Lahore?,Yes,
"What are the admission requirements and procedures at FAST NU?
","Admission to the university is strictly based on merit, without quotas, reserved seats, or admissions through donations. There is no age limit for applicants. Merit is evaluated through the university's own admission test or an equivalent test by a reputable organization. Foreign nationals must submit a No Objection Certificate (NOC) from Pakistan's Ministry of Education at the time of admission. Admission based on scores obtained in the NTS (NAT or GAT) exams allows applicants who took these exams within the past six months to apply for Bachelor's degree programs. Those who have taken the GAT-Subject test can apply for admission to MS programs. SAT and GRE exams are also accepted for admission to Bachelor’s degree programs, specifically for students residing abroad. Candidates awaiting results of FA/FSc/A-level exams can apply provisionally, contingent upon passing with the required marks. If a candidate fails to qualify, admission is cancelled with a refund of tuition fees per HEC guidelines. Applicants must promptly inform the university of their results for refund processing. The admission process requires filling out an online application form on the university's website. Each applicant receives a Unique Application Reference Number (ARN) for future use. A processing fee of Rs 1500 is required for each application, with an additional Rs 500 per campus or type of admission test beyond the first. Admission tests are conducted at all university campuses and must be completed as scheduled.",
What be the reference for the Lahore campus?,"Block-B, Faisal Town",
What is the mission of the course of study at fasting NU?,"To develop student's skills necessary to manage software projects, coupling both with its theoretical and practical aspects that, strengthens them to acquire leadership positions in the software industry whereby they can become agents of change and improvement.",
Nether what circumstance does fasting NU cancel admissions?, The university reserves the right to cancel the admission of any student involved in undesirable or illegal activities or found to have submitted false information or documents.,
Be Bachelor of Scientific discipline (Artificial Intelligence) offered in Lahore?,No,
Cost Bachelor of Science (Financial Technology) offer in Lahore?,Yes,
